system:index,BurnDate,FirstDay,LastDay,QA,Uncertainty,.geo
45922_0,349.0,174.5,189.5,3.0,3.0,
45930_0,283.0,176.0,190.0,3.0,4.0,
46046_0,240.0,177.0,190.0,3.0,4.0,
46096_0,211.0,176.5,189.5,3.0,1.0,
46288_0,239.0,179.0,190.0,3.0,9.0,
46539_0,218.0,176.0,188.5,3.0,1.0,
46570_0,236.0,179.5,190.0,3.0,2.0,
46656_0,282.0,175.5,190.0,3.0,2.0,
46657_0,352.0,174.5,190.0,3.0,1.0,
46709_0,213.0,212.5,279.5,2.0,16.0,
46793_0,344.0,175.0,190.0,3.0,3.0,
46930_0,262.0,175.0,190.0,3.0,4.0,
47023_0,139.0,174.5,189.5,3.0,2.0,
47084_0,193.0,175.5,189.0,3.0,1.0,
47330_0,234.0,179.5,215.0,3.0,5.0,
47345_0,284.0,176.5,190.0,3.0,1.0,
47437_0,339.0,175.0,190.0,3.0,1.0,
47445_0,200.0,175.5,190.0,3.0,3.0,
47454_0,229.0,175.5,189.5,3.0,1.0,
47805_0,196.0,175.0,190.0,3.0,4.0,
47816_0,282.0,175.5,190.0,3.0,2.0,
47881_0,345.0,174.5,190.0,3.0,5.0,
47948_0,339.0,176.0,190.0,3.0,2.0,
48038_0,191.0,175.5,189.5,3.0,3.0,
48046_0,284.0,176.5,190.0,3.0,1.0,
48156_0,229.0,177.0,190.0,3.0,3.0,
48441_0,339.0,175.0,189.5,3.0,2.0,
48720_0,237.0,179.0,190.0,3.0,15.0,
48775_0,210.0,177.0,189.0,3.0,3.0,
48779_0,193.0,175.5,190.0,3.0,2.0,
48836_0,282.0,175.5,190.0,3.0,2.0,
48837_0,191.0,175.5,189.5,3.0,3.0,
48973_0,244.0,175.0,189.5,3.0,1.0,
